respondent_id,survey_language,participated_2025,gender,age_group,experience_group,specialization,grade,current_industry,city,employer_preference,main_decision_source,survey_score,ready_for_followup
13,rus,Нет,Мужчина,27 - 31,3 - 6,Frontend разработка,Team Lead,ИТ продуктовая компания,Алматы,Хочу работать только на иностранную компанию (удаленно из Казахстана),"Впечатление от общения с HR или ИТ-рекрутером компании, Корпоративные профили на специализированных платформах (LinkedIn, hh.kz и пр.), Рекомендации и отзывы сотрудников (нынешних или бывших)",5,Да
14,rus,Нет,Мужчина,Старше 46,Более 20 лет,Высший менеджмент (CEO/CIO/CTO/CMO/CPO/CISO/CTIO/CAIO/CDO),C-level (CEO + CEO-1),ИТ продуктовая компания,Алматы,Не вижу разницы,"Рекомендации и отзывы сотрудников (нынешних или бывших), Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Впечатление от общения с HR или ИТ-рекрутером компании",3,Нет
15,rus,Да,Женщина,37 - 41,15 - 19,Проектный менеджмент,Team Lead,Горнодобывающая промышленность,Алматы,Не вижу разницы,"Рекомендации и отзывы сотрудников (нынешних или бывших), Личный опыт использования цифрового продукта или услуги компании, Репутация компании на рынке (обсуждение в чатах, пабликах, каналах)",2,-
16,rus,Нет,Мужчина,32 - 36,7 - 10,Мобильная разработка,Senior,ИТ продуктовая компания,Алматы,Не вижу разницы,"Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Личный опыт использования цифрового продукта или услуги компании, Личный бренд основателя или руководителя компании",4,Нет
17,rus,Нет,Мужчина,22 - 26,Менее 2 лет,Мобильная разработка,Junior,ИТ продуктовая компания,Астана,Не вижу разницы,"Рекомендации и отзывы сотрудников (нынешних или бывших), Личный опыт использования цифрового продукта или услуги компании, Рейтинги",5,Нет
18,rus,Нет,Женщина,22 - 26,Менее 2 лет,Проектный менеджмент,Junior,Образование / EdTech,Астана,Не вижу разницы,"Впечатление от общения с HR или ИТ-рекрутером компании, Рекомендации и отзывы сотрудников (нынешних или бывших), Репутация компании на рынке (обсуждение в чатах, пабликах, каналах)",5,Нет
19,rus,Нет,Женщина,32 - 36,3 - 6,Backend разработка,Middle,E-commerce | Логистика,Алматы,Не вижу разницы,"Рекомендации и отзывы сотрудников (нынешних или бывших), Впечатление от общения с HR или ИТ-рекрутером компании, Рейтинги",5,Нет
20,rus,Нет,Женщина,27 - 31,Менее 2 лет,HR | ИТ подбор,Middle,ИТ продуктовая компания,Астана,Хочу работать только на иностранную компанию (удаленно из Казахстана),"Корпоративные профили на специализированных платформах (LinkedIn, hh.kz и пр.), Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Рейтинги",4,Да
21,rus,Нет,Женщина,27 - 31,7 - 10,Web-design | UX/UI,Team Lead,ИТ продуктовая компания,Алматы,Хочу работать только на иностранную компанию (удаленно из Казахстана),"Рекомендации и отзывы сотрудников (нынешних или бывших), Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Рейтинги",3,Нет
22,rus,Нет,Мужчина,22 - 26,3 - 6,DevOps | Системное администрирование,Junior,Телекоммуникации,Астана,Не вижу разницы,"Рейтинги, Впечатление от общения с HR или ИТ-рекрутером компании, Репутация компании на рынке (обсуждение в чатах, пабликах, каналах)",3,Нет
23,rus,Нет,Мужчина,32 - 36,7 - 10,HR | ИТ подбор,Team Lead,Fintech,Живу за пределами Казахстана,Только иностранная компания (в Казахстане),"Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Впечатление от общения с HR или ИТ-рекрутером компании, Рекомендации и отзывы сотрудников (нынешних или бывших)",5,Да
24,rus,Да,Женщина,37 - 41,11 - 14,Продакт менеджмент,Senior,Строительство / Инжиниринг / Сервис,Астана,Только иностранная компания (в Казахстане),"Рекомендации и отзывы сотрудников (нынешних или бывших), Впечатление от общения с HR или ИТ-рекрутером компании, Репутация компании на рынке (обсуждение в чатах, пабликах, каналах)",4,Да
25,rus,Да,Мужчина,22 - 26,3 - 6,Backend разработка,Middle,ИТ продуктовая компания,Алматы,Не вижу разницы,"Рекомендации и отзывы сотрудников (нынешних или бывших), Личный опыт использования цифрового продукта или услуги компании, Репутация компании на рынке (обсуждение в чатах, пабликах, каналах)",5,Да
26,rus,Нет,Мужчина,22 - 26,Менее 2 лет,Frontend разработка,Junior,ИТ продуктовая компания,Астана,Хочу работать только на иностранную компанию (удаленно из Казахстана),"Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Рекомендации и отзывы сотрудников (нынешних или бывших)",3,Нет
27,rus,Да,Женщина,Младше 21,3 - 6,Backend разработка,Middle,ИТ продуктовая компания,Астана,Хочу работать только на иностранную компанию (удаленно из Казахстана),"Рекомендации и отзывы сотрудников (нынешних или бывших), Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Впечатление от общения с HR или ИТ-рекрутером компании",1,-
28,rus,Нет,Мужчина,22 - 26,Менее 2 лет,ИТ безопасность,Middle,Другое,Астана,Не вижу разницы,"Рекомендации и отзывы сотрудников (нынешних или бывших), Впечатление от общения с HR или ИТ-рекрутером компании, Репутация компании на рынке (обсуждение в чатах, пабликах, каналах)",1,-
29,rus,Нет,Женщина,22 - 26,Менее 2 лет,Аналитика (бизнес аналитик / системный аналитик),Junior,ИТ продуктовая компания,Алматы,Только иностранная компания (в Казахстане),"Рейтинги, Корпоративные профили на специализированных платформах (LinkedIn, hh.kz и пр.), Репутация компании на рынке (обсуждение в чатах, пабликах, каналах)",5,Нет
30,rus,Нет,Мужчина,27 - 31,7 - 10,ИТ безопасность,C-level,ИТ продуктовая компания,Живу за пределами Казахстана,Не вижу разницы,"Личный бренд основателя или руководителя компании, Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Впечатление от общения с HR или ИТ-рекрутером компании",4,Нет
31,rus,Нет,Мужчина,27 - 31,3 - 6,Продакт менеджмент,C-level,ИТ продуктовая компания,Астана,Не вижу разницы,"Рекомендации и отзывы сотрудников (нынешних или бывших), Личный опыт использования цифрового продукта или услуги компании, Репутация компании на рынке (обсуждение в чатах, пабликах, каналах)",5,Да
32,rus,Нет,Мужчина,27 - 31,3 - 6,Проектный менеджмент,Team Lead,ИТ продуктовая компания,Алматы,Не вижу разницы,"Корпоративные профили на специализированных платформах (LinkedIn, hh.kz и пр.), Официальный сайт компании, Рекомендации и отзывы сотрудников (нынешних или бывших)",4,Да
33,rus,Нет,Мужчина,27 - 31,7 - 10,Frontend разработка,Team Lead,Разработка ПО | IT Outsourcing,Алматы,Не вижу разницы,"Впечатление от общения с HR или ИТ-рекрутером компании, Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Корпоративные профили на специализированных платформах (LinkedIn, hh.kz и пр.)",5,Нет
34,rus,Нет,Мужчина,37 - 41,15 - 19,Web-design | UX/UI,Tribe Leader,Fintech,Алматы,Не вижу разницы,"Рекомендации и отзывы сотрудников (нынешних или бывших), Впечатление от общения с HR или ИТ-рекрутером компании, Репутация компании на рынке (обсуждение в чатах, пабликах, каналах)",5,Нет
35,rus,Нет,Мужчина,32 - 36,11 - 14,Backend разработка,Senior,ИТ продуктовая компания,Алматы,Не вижу разницы,"Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Впечатление от общения с HR или ИТ-рекрутером компании, Личный опыт использования цифрового продукта или услуги компании",4,Да
36,rus,Нет,Мужчина,27 - 31,3 - 6,Data Science | Аналитик данных,Team Lead,Финансовый сектор (банк / брокер / страховая компания),Алматы,Не вижу разницы,"Корпоративные профили на специализированных платформах (LinkedIn, hh.kz и пр.), Рекомендации и отзывы сотрудников (нынешних или бывших), Репутация компании на рынке (обсуждение в чатах, пабликах, каналах)",4,Нет
37,rus,Нет,Женщина,22 - 26,Менее 2 лет,Data Science | Аналитик данных,Middle,Финансовый сектор (банк / брокер / страховая компания),Алматы,Не вижу разницы,"Рекомендации и отзывы сотрудников (нынешних или бывших), Впечатление от общения с HR или ИТ-рекрутером компании, Личный опыт использования цифрового продукта или услуги компании",4,Нет
38,rus,Нет,Женщина,22 - 26,Менее 2 лет,HR | ИТ подбор,Middle,Машиностроительство / Автоиндустрия,Астана,Не вижу разницы,"Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Рекомендации и отзывы сотрудников (нынешних или бывших), Рейтинги",5,Да
39,rus,Да,Мужчина,37 - 41,15 - 19,Высший менеджмент (CEO/CIO/CTO/CMO/CPO/CISO/CTIO/CAIO/CDO),C-level (CEO + CEO-1),ИТ продуктовая компания,Алматы,Не вижу разницы,"Корпоративные профили на специализированных платформах (LinkedIn, hh.kz и пр.), Рекомендации и отзывы сотрудников (нынешних или бывших), Впечатление от общения с HR или ИТ-рекрутером компании",4,Нет
40,rus,Да,Мужчина,27 - 31,7 - 10,HR | ИТ подбор,Team Lead,Другое,Алматы,Не вижу разницы,"Личный опыт использования цифрового продукта или услуги компании, Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Впечатление от общения с HR или ИТ-рекрутером компании",4,Да
41,rus,Нет,Женщина,22 - 26,3 - 6,Frontend разработка,Junior,ИТ продуктовая компания,Алматы,Не вижу разницы,"Впечатление от общения с HR или ИТ-рекрутером компании, Рекомендации и отзывы сотрудников (нынешних или бывших)",4,Нет
42,rus,Нет,Женщина,42 - 46,3 - 6,HR | ИТ подбор,C-level (CEO + CEO-1),Fintech,Алматы,Не вижу разницы,"Рекомендации и отзывы сотрудников (нынешних или бывших), Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Впечатление от общения с HR или ИТ-рекрутером компании",5,Да
43,rus,Нет,Мужчина,27 - 31,7 - 10,Backend разработка,Senior,ИТ продуктовая компания,Алматы,Хочу работать только на иностранную компанию (удаленно из Казахстана),"Рекомендации и отзывы сотрудников (нынешних или бывших), Впечатление от общения с HR или ИТ-рекрутером компании, Репутация компании на рынке (обсуждение в чатах, пабликах, каналах)",4,Нет
44,rus,Нет,Мужчина,Младше 21,Менее 2 лет,Backend разработка,Middle,Образование / EdTech,Алматы,Не вижу разницы,"Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Корпоративные профили на специализированных платформах (LinkedIn, hh.kz и пр.), Рекомендации и отзывы сотрудников (нынешних или бывших)",4,Нет
45,rus,Да,Мужчина,22 - 26,3 - 6,Web-design | UX/UI,Senior,Fintech,Алматы,Хочу работать только на иностранную компанию (удаленно из Казахстана),"Официальный сайт компании, Корпоративные профили на специализированных платформах (LinkedIn, hh.kz и пр.), Впечатление от общения с HR или ИТ-рекрутером компании",3,Да
46,rus,Нет,Женщина,32 - 36,7 - 10,Маркетинг | SMM | SEO,Senior,ИТ продуктовая компания,Алматы,Не вижу разницы,"Впечатление от общения с HR или ИТ-рекрутером компании, Рекомендации и отзывы сотрудников (нынешних или бывших), Личный бренд основателя или руководителя компании",5,Нет
47,rus,Нет,Мужчина,22 - 26,3 - 6,ИТ безопасность,Team Lead,Другое,Астана,Не вижу разницы,"Корпоративные профили на специализированных платформах (LinkedIn, hh.kz и пр.)",4,Нет
48,rus,Нет,Мужчина,22 - 26,3 - 6,Backend разработка,Middle,Разработка ПО | IT Outsourcing,Алматы,Не вижу разницы,"Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Рекомендации и отзывы сотрудников (нынешних или бывших), Личный бренд основателя или руководителя компании",5,Да
49,rus,Да,Мужчина,Младше 21,Менее 2 лет,ИТ безопасность,Junior,Нефтегазовая / Химическая промышленность / Нефтесервис,Астана,Не вижу разницы,Личный бренд основателя или руководителя компании,5,Нет
50,rus,Да,Мужчина,27 - 31,7 - 10,ИТ безопасность,Senior,Другое,Алматы,Только иностранная компания (в Казахстане),"Рекомендации и отзывы сотрудников (нынешних или бывших), Впечатление от общения с HR или ИТ-рекрутером компании, Репутация компании на рынке (обсуждение в чатах, пабликах, каналах)",1,-
51,rus,Да,Женщина,32 - 36,7 - 10,HR | ИТ подбор,Senior,Разработка ПО | IT Outsourcing,Караганда,Только иностранная компания (в Казахстане),"Рекомендации и отзывы сотрудников (нынешних или бывших), Рейтинги, Репутация компании на рынке (обсуждение в чатах, пабликах, каналах)",4,Нет
52,rus,Нет,Женщина,27 - 31,3 - 6,HR | ИТ подбор,Team Lead,Разработка ПО | IT Outsourcing,Астана,Только иностранная компания (в Казахстане),"Впечатление от общения с HR или ИТ-рекрутером компании, Рекомендации и отзывы сотрудников (нынешних или бывших), Репутация компании на рынке (обсуждение в чатах, пабликах, каналах)",5,Да
53,rus,Нет,Мужчина,27 - 31,3 - 6,ИТ архитектура,Middle,Другое,Шымкент,Только казахстанская компания,"Рекомендации и отзывы сотрудников (нынешних или бывших), Впечатление от общения с HR или ИТ-рекрутером компании, Рейтинги",3,Да
54,rus,Нет,Мужчина,32 - 36,7 - 10,Продакт менеджмент,Tribe Leader,Финансовый сектор (банк / брокер / страховая компания),Алматы,Не вижу разницы,"Рекомендации и отзывы сотрудников (нынешних или бывших), Репутация компании на рынке (обсуждение в чатах, пабликах, каналах)",3,Да
55,rus,Нет,Женщина,32 - 36,3 - 6,Проектный менеджмент,Middle,Телекоммуникации,Астана,Только иностранная компания (в Казахстане),"Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Впечатление от общения с HR или ИТ-рекрутером компании, Корпоративные профили на специализированных платформах (LinkedIn, hh.kz и пр.)",5,Да
56,rus,Нет,Мужчина,32 - 36,7 - 10,Frontend разработка,Team Lead,ИТ продуктовая компания,Астана,Не вижу разницы,"Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Личный опыт использования цифрового продукта или услуги компании, Впечатление от общения с HR или ИТ-рекрутером компании",5,Нет
57,rus,Нет,Женщина,Младше 21,Менее 2 лет,Backend разработка,Junior,ИТ продуктовая компания,Астана,Только казахстанская компания,"Официальный сайт компании, Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Рекомендации и отзывы сотрудников (нынешних или бывших)",5,Нет
58,rus,Нет,Мужчина,37 - 41,15 - 19,ИТ безопасность,Tribe Leader,Разработка ПО | IT Outsourcing,Астана,Не вижу разницы,"Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Рекомендации и отзывы сотрудников (нынешних или бывших), Впечатление от общения с HR или ИТ-рекрутером компании",5,Нет
59,rus,Да,Женщина,Старше 46,11 - 14,HR | ИТ подбор,Team Lead,Разработка ПО | IT Outsourcing,Алматы,Только иностранная компания (в Казахстане),"Рекомендации и отзывы сотрудников (нынешних или бывших), Впечатление от общения с HR или ИТ-рекрутером компании, Репутация компании на рынке (обсуждение в чатах, пабликах, каналах)",5,Да
60,rus,Да,Мужчина,Младше 21,Менее 2 лет,ИТ безопасность,Middle,Финансовый сектор (банк / брокер / страховая компания),Астана,Не вижу разницы,Официальный сайт компании,5,Нет
61,rus,Да,Мужчина,32 - 36,3 - 6,ИТ безопасность,Senior,ИТ продуктовая компания,Астана,Не вижу разницы,"Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Реклама компании на профессиональных мероприятиях и митапах, Рекомендации и отзывы сотрудников (нынешних или бывших)",5,Нет
62,kaz,Нет,Мужчина,32 - 36,11 - 14,Backend разработка,Senior,Разработка ПО | IT Outsourcing,Алматы,Только иностранная компания (в Казахстане),"Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Личный опыт использования цифрового продукта или услуги компании, Впечатление от общения с HR или ИТ-рекрутером компании",4,Нет
63,rus,Да,Женщина,42 - 46,7 - 10,ИТ архитектура,Senior,ИТ продуктовая компания,Алматы,Хочу работать только на иностранную компанию (удаленно из Казахстана),Рекомендации и отзывы сотрудников (нынешних или бывших),1,-
64,rus,Нет,Мужчина,22 - 26,3 - 6,Backend разработка,Middle,ИТ продуктовая компания,Караганда,Хочу работать только на иностранную компанию (удаленно из Казахстана),"Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Рекомендации и отзывы сотрудников (нынешних или бывших), Рейтинги",3,Нет
65,kaz,Нет,Мужчина,Младше 21,Менее 2 лет,ИТ безопасность,Middle,Финансовый сектор (банк / брокер / страховая компания),Астана,Не вижу разницы,"Реклама компании на профессиональных мероприятиях и митапах, Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Впечатление от общения с HR или ИТ-рекрутером компании",5,Да
66,kaz,Да,Мужчина,Младше 21,Менее 2 лет,ИТ безопасность,Junior,Финансовый сектор (банк / брокер / страховая компания),Алматы,Не вижу разницы,Реклама компании на профессиональных мероприятиях и митапах,5,Да
67,rus,Нет,Мужчина,32 - 36,15 - 19,ИТ архитектура,Team Lead,Разработка ПО | IT Outsourcing,Алматы,Не вижу разницы,"Рекомендации и отзывы сотрудников (нынешних или бывших), Личный опыт использования цифрового продукта или услуги компании, Репутация компании на рынке (обсуждение в чатах, пабликах, каналах)",4,Нет
68,rus,Нет,Женщина,32 - 36,Менее 2 лет,HR | ИТ подбор,Senior,Разработка ПО | IT Outsourcing,Алматы,Хочу работать только на иностранную компанию (удаленно из Казахстана),"Корпоративные профили на специализированных платформах (LinkedIn, hh.kz и пр.), Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Личный опыт использования цифрового продукта или услуги компании",5,Да
69,rus,Да,Мужчина,22 - 26,3 - 6,ИТ архитектура,Senior,ИТ продуктовая компания,Астана,Не вижу разницы,"Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Рекомендации и отзывы сотрудников (нынешних или бывших), Впечатление от общения с HR или ИТ-рекрутером компании",5,Нет
70,kaz,Нет,Женщина,32 - 36,3 - 6,QA тестирование,Junior,ИТ продуктовая компания,Алматы,Только иностранная компания (в Казахстане),"Рейтинги, Впечатление от общения с HR или ИТ-рекрутером компании, Репутация компании на рынке (обсуждение в чатах, пабликах, каналах)",4,Да
71,rus,Да,Мужчина,Младше 21,3 - 6,Backend разработка,Middle,Fintech,Астана,Хочу работать только на иностранную компанию (удаленно из Казахстана),Реклама компании на профессиональных мероприятиях и митапах,3,Да
72,rus,Да,Мужчина,27 - 31,7 - 10,Мобильная разработка,Senior,Fintech,Алматы,Хочу работать только на иностранную компанию (удаленно из Казахстана),"Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Рекомендации и отзывы сотрудников (нынешних или бывших), Впечатление от общения с HR или ИТ-рекрутером компании",2,-
73,kaz,Нет,Мужчина,22 - 26,Менее 2 лет,Frontend разработка,Junior,Разработка ПО | IT Outsourcing,Алматы,Не вижу разницы,"Впечатление от общения с HR или ИТ-рекрутером компании, Корпоративные профили на специализированных платформах (LinkedIn, hh.kz и пр.), Рейтинги",5,Нет
74,rus,Нет,Женщина,22 - 26,Менее 2 лет,ИТ безопасность,Middle,Другое,Астана,Хочу работать только на иностранную компанию (удаленно из Казахстана),"Рекомендации и отзывы сотрудников (нынешних или бывших), Впечатление от общения с HR или ИТ-рекрутером компании",5,Да
75,rus,Нет,Мужчина,27 - 31,7 - 10,QA тестирование,Senior,Fintech,Астана,Хочу работать только на иностранную компанию (удаленно из Казахстана),"Репутация компании на рынке (обсуждение в чатах, пабликах, каналах)",5,Да
76,rus,Да,Женщина,27 - 31,7 - 10,Проектный менеджмент,Senior,Fintech,Караганда,Только иностранная компания (в Казахстане),"Личный опыт использования цифрового продукта или услуги компании, Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Рекомендации и отзывы сотрудников (нынешних или бывших)",5,Нет
77,rus,Нет,Мужчина,22 - 26,3 - 6,DevOps | Системное администрирование,Middle,Разработка ПО | IT Outsourcing,Алматы,Только иностранная компания (в Казахстане),"Корпоративные профили на специализированных платформах (LinkedIn, hh.kz и пр.), Личный опыт использования цифрового продукта или услуги компании, Личный бренд основателя или руководителя компании",5,Нет
78,rus,Нет,Мужчина,22 - 26,3 - 6,Backend разработка,Senior,Телекоммуникации,Алматы,Хочу работать только на иностранную компанию (удаленно из Казахстана),"Впечатление от общения с HR или ИТ-рекрутером компании, Рейтинги, Репутация компании на рынке (обсуждение в чатах, пабликах, каналах)",4,Да
79,rus,Нет,Женщина,22 - 26,Менее 2 лет,Проектный менеджмент,Senior,ИТ продуктовая компания,Астана,Не вижу разницы,"Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Рекомендации и отзывы сотрудников (нынешних или бывших), Впечатление от общения с HR или ИТ-рекрутером компании",5,Нет
80,rus,Нет,Мужчина,37 - 41,11 - 14,Data Science | Аналитик данных,Team Lead,ИТ продуктовая компания,Караганда,Не вижу разницы,"Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Рейтинги, Личный опыт использования цифрового продукта или услуги компании",5,Нет
81,rus,Да,Женщина,32 - 36,Менее 2 лет,HR | ИТ подбор,Team Lead,E-commerce | Логистика,Алматы,Только иностранная компания (в Казахстане),Впечатление от общения с HR или ИТ-рекрутером компании,4,Да
82,rus,Да,Мужчина,22 - 26,Менее 2 лет,ИТ безопасность,Middle,ИТ продуктовая компания,Астана,Не вижу разницы,"Рекомендации и отзывы сотрудников (нынешних или бывших), Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Рейтинги",3,Да
83,rus,Нет,Мужчина,27 - 31,3 - 6,Продакт менеджмент,Team Lead,Агрегатор / Платформа,Алматы,Не вижу разницы,"Личный опыт использования цифрового продукта или услуги компании, Рекомендации и отзывы сотрудников (нынешних или бывших), Репутация компании на рынке (обсуждение в чатах, пабликах, каналах)",3,Нет
84,rus,Да,Мужчина,37 - 41,3 - 6,Продакт менеджмент,Team Lead,ИТ продуктовая компания,Астана,Хочу работать только на иностранную компанию (удаленно из Казахстана),"Корпоративные профили на специализированных платформах (LinkedIn, hh.kz и пр.), Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Личный опыт использования цифрового продукта или услуги компании",5,Да
85,rus,Да,Женщина,27 - 31,11 - 14,Проектный менеджмент,Senior,Fintech,Караганда,Не вижу разницы,"Рекомендации и отзывы сотрудников (нынешних или бывших), Впечатление от общения с HR или ИТ-рекрутером компании, Репутация компании на рынке (обсуждение в чатах, пабликах, каналах)",5,Да
86,rus,Нет,Мужчина,27 - 31,Менее 2 лет,Web-design | UX/UI,Junior,Машиностроительство / Автоиндустрия,Караганда,Не вижу разницы,"Рекомендации и отзывы сотрудников (нынешних или бывших), Личный бренд основателя или руководителя компании, Репутация компании на рынке (обсуждение в чатах, пабликах, каналах)",5,Нет
87,rus,Нет,Мужчина,32 - 36,15 - 19,DevOps | Системное администрирование,Senior,Финансовый сектор (банк / брокер / страховая компания),Алматы,Хочу работать только на иностранную компанию (удаленно из Казахстана),"Корпоративные профили на специализированных платформах (LinkedIn, hh.kz и пр.), Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Впечатление от общения с HR или ИТ-рекрутером компании",5,Да
88,rus,Да,Мужчина,37 - 41,15 - 19,Высший менеджмент (CEO/CIO/CTO/CMO/CPO/CISO/CTIO/CAIO/CDO),C-level (CEO + CEO-1),Финансовый сектор (банк / брокер / страховая компания),Алматы,Не вижу разницы,"Личный бренд основателя или руководителя компании, Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Рекомендации и отзывы сотрудников (нынешних или бывших)",5,Да
89,rus,Нет,Женщина,27 - 31,7 - 10,AI | ML | VR/AR,C-level (CEO + CEO-1),Разработка ПО | IT Outsourcing,Астана,Не вижу разницы,"Рекомендации и отзывы сотрудников (нынешних или бывших), Личный бренд основателя или руководителя компании, Впечатление от общения с HR или ИТ-рекрутером компании",4,Нет
